id_cliente,recencia,frecuencia_compras,monetario_total,total_articulos,antiguedad_dias,ticket_promedio,prob_churn,nivel_riesgo
29,113,1,4283,2,517,4283.0,100.0,Alto
82,97,1,7710,3,464,7710.0,100.0,Alto
17,163,1,7752,2,529,7752.0,99.0,Alto
43,169,1,16084,9,503,16084.0,97.5,Alto
28,162,1,15308,13,518,15308.0,95.5,Alto
36,123,1,15966,7,510,15966.0,93.0,Alto
83,127,1,16531,9,463,16531.0,93.0,Alto
8,172,1,61503,19,538,61503.0,91.0,Alto
23,132,1,19825,9,523,19825.0,90.0,Alto
54,96,1,21270,13,492,21270.0,89.0,Alto
31,151,1,53828,15,515,53828.0,89.0,Alto
98,113,1,10864,5,448,10864.0,88.0,Alto
21,129,1,20048,5,525,20048.0,88.0,Alto
34,171,1,57287,19,512,57287.0,87.5,Alto
51,108,2,9800,10,495,4900.0,85.0,Alto
88,133,1,36639,13,458,36639.0,82.5,Alto
3,134,1,33310,15,543,33310.0,80.5,Alto
93,118,1,35760,12,453,35760.0,80.5,Alto
46,96,2,18292,7,500,9146.0,79.5,Alto
1,95,2,72448,26,545,36224.0,77.0,Alto
9,96,2,41840,12,537,20920.0,75.5,Alto
41,115,2,40804,18,505,20402.0,74.5,Alto
58,114,2,21839,10,488,10919.5,74.0,Alto
18,92,1,20544,6,528,20544.0,73.5,Alto
26,125,2,31134,15,520,15567.0,73.0,Alto
90,152,1,26593,10,456,26593.0,73.0,Alto
48,138,2,26403,16,498,13201.5,71.0,Alto
